Ano,Valor Regiões Escala (copy)
1960,24
1961,24
1962,24
1963,23
1964,24
1965,23
1966,23
1967,22
1968,22
1969,21
1970,20
1971,21
1972,20
1973,20
1974,19
1975,19
1976,20
1977,19
1978,17
1979,16
1980,16
1981,15
1982,15
1983,14
1984,14
1985,13
1986,12
1987,12
1988,12
1989,11
1990,11
1991,11
1992,11
1993,11
1994,10
1995,10
1996,11
1997,11
1998,11
1999,11
2000,11
2001,10
2002,11
2003,10
2004,10
2005,10
2006,10
2007,9
2008,9
2009,9
2010,9
2011,9
2012,8
2013,7
2014,7
2015,8
2016,8
2017,8
2018,8
2019,8
2020,8
2021,7
2022,8
2023,8
