Ano,Total,mulheres,homens
1960,8889392,4634976,4254416
1961,8969237,4675539,4293698
1962,9018720,4703975,4314745
1963,9041979,4713081,4328898
1964,9028743,4721608,4307135
1965,8968431,4699805,4268626
1966,8893539,4667203,4226336
1967,8855495,4632819,4222676
1968,8817794,4593715,4224079
1969,8697606,4539569,4158037
1970,8663252,4553892,4109360
1971,8624258,4546365,4077893
1972,8636603,4556561,4080042
1973,8629598,4568677,4060921
1974,8879127,4680741,4198386
1975,9307815,4876533,4431282
1976,9403809,4915988,4487821
1977,9507536,4958608,4548928
1978,9608959,4999761,4609198
1979,9713570,5042889,4670681
1980,9818980,5088290,4730690
1981,9883670,5120752,4762918
1982,9939871,5148652,4791219
1983,9975859,5165938,4809921
1984,10016605,5186083,4830522
1985,10030621,5193233,4837388
1986,10034846,5195289,4839557
1987,10025215,5190484,4834731
1988,10014005,5185185,4828820
1989,9995995,5176677,4819318
1990,9970441,5163888,4806553
1991,9950029,5154852,4795177
1992,9954958,5158868,4796090
1993,9974391,5169497,4804894
1994,10008659,5186730,4821929
1995,10043693,5203747,4839946
1996,10084196,5223673,4860523
1997,10133758,5248376,4885382
1998,10186634,5274465,4912169
1999,10249022,5304872,4944150
2000,10330774,5344316,4986458
2001,10394669,5375295,5019374
2002,10444592,5407252,5037340
2003,10473050,5425721,5047329
2004,10494672,5440950,5053722
2005,10511988,5453175,5058813
2006,10532588,5468193,5064395
2007,10553339,5483592,5069747
2008,10563014,5496775,5066239
2009,10573479,5509734,5063745
2010,10572721,5519178,5053543
2011,10558950,5520561,5038389
2012,10503889,5500595,5003294
2013,10444092,5478747,4965345
2014,10395121,5460453,4934668
2015,10368554,5449089,4919465
2016,10344478,5436542,4907936
2017,10335770,5433139,4902631
2018,10333496,5434882,4898614
2019,10375395,5448405,4926990
2020,10394297,5451426,4942871
2021,10421117,5453855,4967262
2022,10516621,5495973,5020648
2023,10639726,5556158,5083568
